"","region","year","大豆_主产品产量（千克）","大豆_人工成本（元）","大豆_土地成本（元）","大豆_平均出售价格（元）","大豆_总成本（元）","大豆_物质与服务费用（元）","小麦_主产品产量（千克）","小麦_人工成本（元）","小麦_土地成本（元）","小麦_平均出售价格（元）","小麦_总成本（元）","小麦_物质与服务费用（元）","玉米_主产品产量（千克）","玉米_人工成本（元）","玉米_土地成本（元）","玉米_平均出售价格（元）","玉米_总成本（元）","玉米_物质与服务费用（元）","稻谷_主产品产量（千克）","稻谷_人工成本（元）","稻谷_土地成本（元）","稻谷_平均出售价格（元）","稻谷_总成本（元）","稻谷_物质与服务费用（元）","corn_fp","rice_fp","soybean_fp","wheat_fp","柑_主产品产量（千克）","柑_人工成本（元）","柑_土地成本（元）","柑_平均出售价格（元）","柑_物质与服务费用（元）","桔_主产品产量（千克）","桔_人工成本（元）","桔_土地成本（元）","桔_平均出售价格（元）","桔_物质与服务费用（元）","苹果_主产品产量（千克）","苹果_人工成本（元）","苹果_土地成本（元）","苹果_平均出售价格（元）","苹果_物质与服务费用（元）","露地圆白菜_主产品产量（千克）","露地圆白菜_人工成本（元）","露地圆白菜_土地成本（元）","露地圆白菜_平均出售价格（元）","露地圆白菜_物质与服务费用（元）","露地大白菜_主产品产量（千克）","露地大白菜_人工成本（元）","露地大白菜_土地成本（元）","露地大白菜_平均出售价格（元）","露地大白菜_物质与服务费用（元）","露地茄子_主产品产量（千克）","露地茄子_人工成本（元）","露地茄子_土地成本（元）","露地茄子_平均出售价格（元）","露地茄子_物质与服务费用（元）","露地菜椒_主产品产量（千克）","露地菜椒_人工成本（元）","露地菜椒_土地成本（元）","露地菜椒_平均出售价格（元）","露地菜椒_物质与服务费用（元）","露地菜花_主产品产量（千克）","露地菜花_人工成本（元）","露地菜花_土地成本（元）","露地菜花_平均出售价格（元）","露地菜花_物质与服务费用（元）","露地萝卜_主产品产量（千克）","露地萝卜_人工成本（元）","露地萝卜_土地成本（元）","露地萝卜_平均出售价格（元）","露地萝卜_物质与服务费用（元）","露地西红柿_主产品产量（千克）","露地西红柿_人工成本（元）","露地西红柿_土地成本（元）","露地西红柿_平均出售价格（元）","露地西红柿_物质与服务费用（元）","露地豆角_主产品产量（千克）","露地豆角_人工成本（元）","露地豆角_土地成本（元）","露地豆角_平均出售价格（元）","露地豆角_物质与服务费用（元）","露地马铃薯_主产品产量（千克）","露地马铃薯_人工成本（元）","露地马铃薯_土地成本（元）","露地马铃薯_平均出售价格（元）","露地马铃薯_物质与服务费用（元）","露地黄瓜_主产品产量（千克）","露地黄瓜_人工成本（元）","露地黄瓜_土地成本（元）","露地黄瓜_平均出售价格（元）","露地黄瓜_物质与服务费用（元）"
"1","全国平均",2000,121.2,75.6,43.17,102.77,84.56,96.47,289.8,83.1,40.42,52.88,57.58,228.96,350.5,126.8,45.26,42.81,43.72,158.5,415.1,152.48,49.96,51.74,46,199.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1650.7,446.41,126.33,43.36,563.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","全国平均",2001,118.6,78.97,42.71,96.76,86.25,95.9,261.4,100.78,40.55,52.51,57.39,182.31,379.4,131.4,39.12,48.34,40.42,157.36,427.2,153.99,48.02,53.68,44.61,198.46,NA,NA,NA,NA,1698.6,NA,NA,64.92,NA,1239.9,NA,NA,66.49,NA,1421.9,407.83,120.54,49.55,550.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","全国平均",2002,133.6,81.03,51.89,110.45,84.79,104.35,261.9,104.31,48.53,51.25,60.56,189.87,392.6,131.94,48.2,45.6,41.92,171.42,420.4,152.81,56.33,51.39,47.13,206.68,NA,NA,NA,NA,1600.9,NA,NA,114.79,NA,1521,NA,NA,74.45,NA,1328.5,387.82,99.66,48.2,423.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","全国平均",2003,119.9,86.56,56.82,147.23,102.33,111.27,255.2,102.81,51.67,56.42,61.94,185.16,368.5,130.22,49.98,52.74,44.67,167.43,408.8,175.22,56.55,60.06,51.32,207.39,NA,NA,2.40376190476191,1.7005,2386.6,NA,NA,101.44,NA,1818.9,NA,NA,71.01,NA,1603.9,440.4,106.12,51.74,544.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","全国平均",2004,130.2,74.16,62.14,141.02,93.88,116.75,339.8,111.84,43.8,74.47,50.44,200.28,423.6,140.49,61.44,58.06,42.72,173.77,450.9,171.44,56.96,79.82,49.06,226.24,NA,NA,3.49626086956522,2.13477272727273,1919.9,1085.11,110.51,86.08,1092.13,1623.5,415.88,159.99,81.12,840.5,1952.3,612.18,91.56,58.26,636.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","全国平均",2005,132.2,81.53,75.22,128.37,98.66,113.79,325.8,121.34,51.92,69.01,57.33,216.35,422.6,148.38,67.82,55.53,44.65,176.08,431,184.54,66.32,77.66,55.84,242.45,1.28578260869565,NA,2.87530434782609,1.73369565217391,1457.6,532.27,76.21,125.99,724.81,1646.9,492.83,115.07,97.81,896.74,1826.5,604.67,119.87,77.06,559.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","全国平均",2006,128.4,81.87,75.95,125.76,100.32,109.71,351.8,119.61,54.6,71.61,55.48,230.56,423.5,149.94,73.45,63.39,46.9,188.38,436.3,186.33,76.69,80.64,57.99,255.21,1.44117391304348,NA,2.69595652173913,1.66708695652174,1964.5,810.05,115.65,70.32,649.45,1585.5,1191.42,113.8,124.01,859.5,1941.9,752.14,119.22,83.28,735.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","全国平均",2007,110.1,87.7,87.31,207.05,129.36,116.74,359.9,124.72,68.88,75.58,58.79,245.01,422.4,159.78,91.18,74.76,51.68,198.74,450.2,194.35,84.88,85.21,60.32,275.93,1.68118181818182,NA,3.20322727272727,1.89209090909091,2038.2,859.92,137.47,85.48,685.08,2038.2,859.92,137.47,85.48,685.08,1726.8,816.88,220.08,139.86,1357.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","全国平均",2008,139.7,88.32,105.96,184.26,121.8,153.71,388.3,133.19,86.67,82.76,62.23,278.69,457.2,176.98,103.16,72.48,55.58,243.31,464.2,214.65,109.04,95.11,70.23,341.41,1.87871428571429,NA,4.51671428571429,2.15980952380952,1656,1049.87,115.49,84.95,1014.35,2332.2,684.67,174.87,40.12,807.95,1966.1,1001.5,204.58,106.75,1051.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","全国平均",2009,128.79,103.53,129.84,184.17,143.4,144.82,378.08,145.64,103.88,92.41,73.03,317.48,429.94,192.61,117.44,82.01,62.21,241.05,462.48,226.82,122.53,99.08,72.44,333.77,1.67363636363636,NA,3.38668181818182,2.14331818181818,1570.75,957.4,142.44,99.52,912.42,1887.5,717.04,125.58,72.51,723.95,1961.5,1488.97,208.31,164.6,1823.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
