"","region","year","不识字或识字很少（人）","中专程度（人）","农业机械总动力（万千瓦）","初中程度（人）","大专及大专以上（人）","小学程度（人）","旱地面积占比（%）","水田面积占比（%）","油料播种面积（千公顷）","瓜果类播种面积（千公顷）","蔬菜播种面积（千公顷）","高中程度（人）","露地圆白菜_主产品产量（千克）","露地圆白菜_人工成本（元）","露地圆白菜_土地成本（元）","露地圆白菜_平均出售价格（元）","露地圆白菜_物质与服务费用（元）","露地大白菜_主产品产量（千克）","露地大白菜_人工成本（元）","露地大白菜_土地成本（元）","露地大白菜_平均出售价格（元）","露地大白菜_物质与服务费用（元）","露地茄子_主产品产量（千克）","露地茄子_人工成本（元）","露地茄子_土地成本（元）","露地茄子_平均出售价格（元）","露地茄子_物质与服务费用（元）","露地菜椒_主产品产量（千克）","露地菜椒_人工成本（元）","露地菜椒_土地成本（元）","露地菜椒_平均出售价格（元）","露地菜椒_物质与服务费用（元）","露地菜花_主产品产量（千克）","露地菜花_人工成本（元）","露地菜花_土地成本（元）","露地菜花_平均出售价格（元）","露地菜花_物质与服务费用（元）","露地萝卜_主产品产量（千克）","露地萝卜_人工成本（元）","露地萝卜_土地成本（元）","露地萝卜_平均出售价格（元）","露地萝卜_物质与服务费用（元）","露地西红柿_主产品产量（千克）","露地西红柿_人工成本（元）","露地西红柿_土地成本（元）","露地西红柿_平均出售价格（元）","露地西红柿_物质与服务费用（元）","露地豆角_主产品产量（千克）","露地豆角_人工成本（元）","露地豆角_土地成本（元）","露地豆角_平均出售价格（元）","露地豆角_物质与服务费用（元）","露地马铃薯_主产品产量（千克）","露地马铃薯_人工成本（元）","露地马铃薯_土地成本（元）","露地马铃薯_平均出售价格（元）","露地马铃薯_物质与服务费用（元）","露地黄瓜_主产品产量（千克）","露地黄瓜_人工成本（元）","露地黄瓜_土地成本（元）","露地黄瓜_平均出售价格（元）","露地黄瓜_物质与服务费用（元）","农作物总播种面积（千公顷）","国有农场耕地面积（千公顷）","大豆播种面积（千公顷）","小麦播种面积（千公顷）","玉米播种面积（千公顷）","稻谷播种面积（千公顷）","耕地面积（万公顷）","中籼稻_主产品产量（千克）","中籼稻_人工成本（元）","中籼稻_土地成本（元）","中籼稻_平均出售价格（元）","中籼稻_总成本（元）","中籼稻_物质与服务费用（元）","大豆_主产品产量（千克）","大豆_人工成本（元）","大豆_土地成本（元）","大豆_平均出售价格（元）","大豆_总成本（元）","大豆_物质与服务费用（元）","小麦_主产品产量（千克）","小麦_人工成本（元）","小麦_土地成本（元）","小麦_平均出售价格（元）","小麦_总成本（元）","小麦_物质与服务费用（元）","早籼稻_主产品产量（千克）","早籼稻_人工成本（元）","早籼稻_土地成本（元）","早籼稻_平均出售价格（元）","早籼稻_总成本（元）","早籼稻_物质与服务费用（元）","晚籼稻_主产品产量（千克）","晚籼稻_人工成本（元）","晚籼稻_土地成本（元）","晚籼稻_平均出售价格（元）","晚籼稻_总成本（元）","晚籼稻_物质与服务费用（元）","玉米_主产品产量（千克）","玉米_人工成本（元）","玉米_土地成本（元）","玉米_平均出售价格（元）","玉米_总成本（元）","玉米_物质与服务费用（元）","粳稻_主产品产量（千克）","粳稻_人工成本（元）","粳稻_土地成本（元）","粳稻_平均出售价格（元）","粳稻_总成本（元）","粳稻_物质与服务费用（元）","油菜籽_主产品产量（千克）","油菜籽_人工成本（元）","油菜籽_土地成本（元）","油菜籽_平均出售价格（元）","油菜籽_物质与服务费用（元）","花生_主产品产量（千克）","花生_人工成本（元）","花生_土地成本（元）","花生_平均出售价格（元）","花生_物质与服务费用（元）","柑_主产品产量（千克）","柑_人工成本（元）","柑_土地成本（元）","柑_平均出售价格（元）","柑_物质与服务费用（元）","桔_主产品产量（千克）","桔_人工成本（元）","桔_土地成本（元）","桔_平均出售价格（元）","桔_物质与服务费用（元）","苹果_主产品产量（千克）","苹果_人工成本（元）","苹果_土地成本（元）","苹果_平均出售价格（元）","苹果_物质与服务费用（元）"
"1","Yunnan",2000,17.63,0.95,29.3,31.42,0.12,45.28,NA,NA,212.6,18.3,353.3,4.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5786,11,52,645.6,1129.7,1073.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Yunnan",2001,17.28,0.99,29.3,32.28,0.04,44.4,NA,NA,199.7,17.1,390.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5929.6,11.5,126.8,640.7,1138.1,1100.3,NA,NA,NA,NA,NA,NA,NA,100.8,NA,NA,122.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331.3,NA,NA,53.3,NA,NA,494.7,NA,NA,67.09,NA,NA,152.1,NA,NA,95.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Yunnan",2002,17.37,1.19,26.7,32.29,0.09,44.13,NA,NA,186.2,17.9,402.7,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5813.1,12.4,122.7,604.2,1128.9,1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.2,NA,NA,49.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,NA,NA,50.24,NA,NA,448.8,NA,NA,64.89,NA,NA,157.9,NA,NA,94.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Yunnan",2003,16.91,0.99,26.6,34,0.12,43.57,NA,NA,189.8,15.4,437.7,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5756,12.3,113.1,567.4,1066.9,1043.1,NA,NA,NA,NA,NA,NA,NA,87.5,NA,NA,152.28,NA,NA,191,NA,NA,54.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340.2,NA,NA,56.98,NA,NA,482,NA,NA,66.2,NA,NA,139.6,NA,NA,123.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Yunnan",2004,17.66,0.91,24.6,34.82,0.27,41.75,NA,NA,204.9,15,459.9,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5890,12.1,149.7,543.3,1111.1,1086.2,NA,NA,NA,NA,NA,NA,NA,129.4,187.85,40.97,166.01,134.44,126.91,182.3,171.17,44.52,75.87,88.06,125.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.3,267.92,61.64,70.52,71.1,202.43,502.4,371.56,91.78,90.76,68.8,264.15,153,240.36,65.1,146.42,138.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Yunnan",2005,13.97,1.11,23.6,38.01,0.25,42.03,NA,NA,225.3,15.5,492,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6053.8,12.1,124,532.3,1182.6,1049.3,NA,NA,NA,NA,NA,NA,NA,118.2,307.59,50.51,194.26,191.84,106.87,180.8,188.6,61.52,73.57,98.03,124.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.6,283.62,67.98,67.74,79.61,195.24,538.7,407.96,102.57,91.27,68.25,262.04,150.8,201.64,91.08,126.2,158.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Yunnan",2006,12.88,1.13,18.9,39.79,0.35,40.85,NA,NA,141.5,18.3,523,5.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5776.2,11.9,83.6,437.7,1251.2,1029.7,NA,NA,NA,NA,NA,NA,NA,121.3,198.24,51.3,176.42,150.39,119.35,193.4,181.58,51.99,64,85.61,121.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361.8,293.66,65.79,65.9,74.83,208.03,568.3,429.41,121.73,91.56,68.14,260.64,175.5,194.12,79.59,117.31,143.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Yunnan",2007,13.35,1.43,26.8,40.1,0.44,39.83,73.4,25.2,135.9,22.2,562,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5801.9,12.1,81.1,426.8,1282.1,990.2,NA,NA,NA,NA,NA,NA,NA,96,212.25,60.33,235.67,198.69,114.24,200.2,203.02,58.42,75.83,93.78,135.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,314.51,65.24,74.44,79.41,214.27,554.3,444.68,140.22,98.44,74.32,278.22,170.7,236.3,91.92,172.33,147.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Yunnan",2008,13.2,1.6,23.4,41.4,0.6,37.9,73.4,25.2,188,18.3,583.4,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6056.2,12.4,128.9,425,1325.8,1017.5,NA,514.6,346.42,118.49,104.41,71.47,299.03,NA,NA,NA,NA,NA,NA,182.8,224.76,67.74,88.51,117.11,153.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.6,356.14,78.24,87.43,86.17,268.1,595.9,504.59,158.08,101.74,79.99,335.04,157.8,274.07,104.24,267.57,177.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Yunnan",2009,12.4,1.9,31.9,41.6,0.8,37.5,73.4,25.2,317.3,17.8,622.9,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6343.9,12.3,130.8,432.4,1354.2,1039.8,NA,479.61,378.99,113.57,106.15,81.56,319.89,NA,NA,NA,NA,NA,NA,184.83,222.63,79.71,95.07,119.79,159.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384.58,383.95,83.05,93.41,92.41,273.93,610.58,535.84,159.77,104.48,81.51,343.05,146.55,280.45,106.9,183.33,191.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
