"","province","city","year","region","acre_total","acre_corn","acre_soy","share_corn","share_soy"
"1","Heilongjiang","qitaihe",2007,"七台河",146.77,32.554,76.207,0.221802820739933,0.519227362540029
"2","Heilongjiang","qitaihe",2008,"七台河",152.129,48.139,67.445,0.316435393646182,0.443340848884828
"3","Heilongjiang","qitaihe",2009,"七台河",169.07,67.801,69.529,0.401023244809842,0.411243863488496
"4","Heilongjiang","qitaihe",2010,"七台河",175.181,70.058,69.116,0.399917799304719,0.394540503821761
"5","Heilongjiang","qitaihe",2011,"七台河",172.414,88.906,43.847,0.515654181214983,0.254312294825246
"6","Heilongjiang","qitaihe",2012,"七台河",177.528,107.502,33.271,0.605549547113695,0.18741268982921
"7","Heilongjiang","qitaihe",2013,"七台河",177.833,117.476,24.062,0.660597301963078,0.135306720349991
"8","Heilongjiang","qitaihe",2014,"七台河",177.885,122.952,20.098,0.691188127160806,0.112983107063552
"9","Heilongjiang","qitaihe",2015,"七台河",178.464,131.674,13.019,0.737818271472118,0.0729502868925946
"10","Heilongjiang","qitaihe",2016,"七台河",181.296,125.247,14.554,0.690842599947048,0.0802775571441179
"11","Heilongjiang","qitaihe",2017,"七台河",180.7535791,111.3492289,277.9726735,0.616027795711847,1.53785432567404
"12","Heilongjiang","qitaihe",2018,"七台河",180.9158,120.3746,21.3125,0.665362560926133,0.117803420154569
"13","Heilongjiang","qitaihe",2019,"七台河",215.6644,144.76646278,37.717892,0.671258041568289,0.174891600097188
"14","Heilongjiang","qitaihe",2020,"七台河",221.9788,135.3707547,44.89511,0.60983641095456,0.20224953914518
"15","Heilongjiang","qitaihe",2021,"七台河",226.1184,145.2565,38.8357,0.642391331267159,0.171749402083156
"16","Heilongjiang","yichun",2007,"伊春",205.208,20.133,122.866,0.0981102101282601,0.59873884059101
"17","Heilongjiang","yichun",2008,"伊春",205.477,24.193,128.081,0.117740671705349,0.62333497179733
"18","Heilongjiang","yichun",2009,"伊春",240.693,29.663,164.323,0.123239977897155,0.68270784775627
"19","Heilongjiang","yichun",2010,"伊春",240.693,34.528,158.781,0.143452447723864,0.659682666301056
"20","Heilongjiang","yichun",2011,"伊春",243.453,43.655,150.543,0.179315925455837,0.618365762590726
"21","Heilongjiang","yichun",2012,"伊春",243.241,62.063,127.442,0.25515024194112,0.523933054049276
"22","Heilongjiang","yichun",2013,"伊春",241.553,59.811,129.318,0.247610255306289,0.535360769686156
"23","Heilongjiang","yichun",2014,"伊春",239.491,45.43,142.576,0.189693975974045,0.595329260807295
"24","Heilongjiang","yichun",2015,"伊春",239.938,57.233,130.417,0.23853245421734,0.543544582350441
"25","Heilongjiang","yichun",2016,"伊春",241.046,51.182,132.482,0.212332915709035,0.549612936949794
"26","Heilongjiang","yichun",2017,"伊春",215.5748137,19.93748668,1421.644626,0.0924852321001913,6.59466939388569
"27","Heilongjiang","yichun",2018,"伊春",237.8074,42.4445,139.9324,0.178482671270953,0.588427441702823
"28","Heilongjiang","yichun",2019,"伊春",277.6668,37.71163067,166.98075333,0.135816131672926,0.601370971718621
"29","Heilongjiang","yichun",2020,"伊春",281.5497,44.57807333,166.2989914,0.158331098665706,0.590655899828698
"30","Heilongjiang","yichun",2021,"伊春",292.2433,85.1372,129.7442,0.29132301749946,0.443959536454728
"31","Heilongjiang","jiamusi",2007,"佳木斯",1110.214,207.013,557.393,0.186462249620343,0.502059062487052
"32","Heilongjiang","jiamusi",2008,"佳木斯",1132.662,191.356,578.334,0.168943603652281,0.510597159611605
"33","Heilongjiang","jiamusi",2009,"佳木斯",1253.348,252.333,665.371,0.201327165320406,0.530874904655371
"34","Heilongjiang","jiamusi",2010,"佳木斯",1255.495,312.396,557.435,0.248822974205393,0.443996192736729
"35","Heilongjiang","jiamusi",2011,"佳木斯",1287.015,388.572,378.808,0.301917227071946,0.294330679906606
