"","time","value","type"
"1","2000",51.74,"Rice"
"2","2001",53.68,"Rice"
"3","2002",51.39,"Rice"
"4","2003",60.06,"Rice"
"5","2004",79.82,"Rice"
"6","2005",77.66,"Rice"
"7","2006",80.64,"Rice"
"8","2007",85.21,"Rice"
"9","2008",95.11,"Rice"
"10","2009",99.08,"Rice"
"11","2010",118,"Rice"
"12","2011",134.53,"Rice"
"13","2012",138.07,"Rice"
"14","2013",136.52,"Rice"
"15","2014",140.63,"Rice"
"16","2015",138.02,"Rice"
"17","2016",136.79,"Rice"
"18","2017",137.85,"Rice"
"19","2018",129.42,"Rice"
"20","2019",127.23,"Rice"
"21","2020",137.54,"Rice"
"22","2000",42.81,"Corn"
"23","2001",48.34,"Corn"
"24","2002",45.6,"Corn"
"25","2003",52.74,"Corn"
"26","2004",58.06,"Corn"
"27","2005",55.53,"Corn"
"28","2006",63.39,"Corn"
"29","2007",74.76,"Corn"
"30","2008",72.48,"Corn"
"31","2009",82.01,"Corn"
"32","2010",93.62,"Corn"
"33","2011",106.07,"Corn"
"34","2012",111.13,"Corn"
"35","2013",108.81,"Corn"
"36","2014",111.85,"Corn"
"37","2015",94.23,"Corn"
"38","2016",76.99,"Corn"
"39","2017",82.16,"Corn"
"40","2018",87.8,"Corn"
"41","2019",89.63,"Corn"
"42","2020",115.56,"Corn"
"43","2000",102.77,"Soybean"
"44","2001",96.76,"Soybean"
"45","2002",110.45,"Soybean"
"46","2003",147.23,"Soybean"
"47","2004",141.02,"Soybean"
"48","2005",128.37,"Soybean"
"49","2006",125.76,"Soybean"
"50","2007",207.05,"Soybean"
"51","2008",184.26,"Soybean"
"52","2009",184.17,"Soybean"
"53","2010",193.61,"Soybean"
"54","2011",204.17,"Soybean"
"55","2012",236.39,"Soybean"
"56","2013",234.36,"Soybean"
"57","2014",219.41,"Soybean"
"58","2015",198.12,"Soybean"
"59","2016",190.2,"Soybean"
"60","2017",188.26,"Soybean"
"61","2018",183.09,"Soybean"
"62","2019",187.58,"Soybean"
"63","2020",242.97,"Soybean"
