"","city","corn_ave","soy_ave","rice_ave","wheat_ave","province","year","region","acre_total","acre_corn","acre_soy","share_corn","share_soy","acre_rice","acre_wheat","share_rice","share_wheat","name_city3"
"1","anshan",174.342506,4.792528,32.831646,0.143004,"Liaoning",2021,"鞍山",257.9,169.29258,6.3398,0.656427219852656,0.024582396277627,35.32633,0.0959,0.136976851492827,0.000371849554090733,"鞍山市"
"2","anyang",247.438374,4.210346,0.105134,306.143184,"Henan",2021,"安阳市",716.64,251.56,3.52,0.351027014958696,0.00491181067202501,0.01,290.63,1.39540075909801e-05,0.405545322616655,"安阳市"
"3","baicheng",484.41,27.2166,192.857,NA,"Jilin",2021,"白城市",990.711,543.113,29.015,0.548205278835099,0.029287047383142,207.188,NA,0.20913061427601,NA,"白城市"
"4","baishan",37.0794,23.504,0.6268,NA,"Jilin",2021,"白山市",82.798,40.091,25.567,0.484202516969009,0.308787651875649,0.394,NA,0.00475856904756154,NA,"白山市"
"5","baoding",479.6,5.28394614617467,1.22299889526761,374.120847379675,"Hebei",2021,"保定市（含定州市）",1048.94939,466.1,4.30973073087334,0.444349369420006,0.00410861646134647,NA,361.806893598801,NA,0.344923117404931,"保定市"
"6","baotou",129.477858386235,0.446420942186202,NA,NA,"Inner mongolia",2021,"包头市",296.46,141.826045440503,1.19553374719253,0.47839858814175,0.00403269833094694,NA,NA,NA,NA,"包头市"
"7","bayanzhuoer",326.931733786101,0.560323174268266,NA,NA,"Inner mongolia",2021,"巴彦淖尔市",757.92,358.693515320021,0.430392148989311,0.473260390700894,0.000567859601263076,NA,NA,NA,NA,"巴彦淖尔市"
"8","benxi",41.58457,1.202728,5.838478,NA,"Liaoning",2021,"本溪",60.7,39.86711,1.3714,0.656789291598023,0.0225930807248764,7.66051,NA,0.126202800658979,NA,"本溪市"
"9","binzhou",305.63391002,5.19197547,0.85178672,279.89439722,"Shandong",2021,"滨州市",662.252,297.103,7.976,0.448625296714846,0.0120437537372481,0.546,281.316,0.000824459571281023,0.424786939110792,"滨州市"
"10","buxin",325.974604,9.110294,2.633168,0.1659,"Liaoning",2021,"阜新",471.1,324.03659,11.25548,0.687829738908937,0.0238919125451072,3.23106,0.19927,0.00685854383358098,0.000422988749734664,"阜新市"
"11","cangzhou",514.633335859339,6.40017393120666,NA,311.049362837522,"Hebei",2021,"沧州市",982.45166,528.866679296693,4.40086965603329,0.538313182041642,0.00447947704219187,NA,304.049740801908,NA,0.309480611801204,"沧州市"
"12","changchun",1155.8542,22.6004,182.0486,NA,"Jilin",2021,"长春市",1641.071,1345.594,20.482,0.819948679856021,0.0124808737708484,178.778,NA,0.10893983258494,NA,"长春市"
"13","chaoyang",338.600794,3.770504,0.06453,0.743274,"Liaoning",2021,"朝阳",497.5,348.78301,4.70828,0.701071376884422,0.00946387939698493,0.09522,1.22486,0.000191396984924623,0.00246203015075377,"朝阳市"
"14","chengde",168.992666666667,4.52234843995384,4.36421943689255,NA,"Hebei",2021,"承德市",401.53453,174.333333333333,4.41174219976917,0.43416772483635,0.0109872050101623,NA,NA,NA,NA,"承德市"
"15","chifeng",623.678936446377,71.009003135102,NA,NA,"Inner mongolia",2021,"赤峰市",1371.21,622.419748925773,74.5534844749262,0.453920077103998,0.0543705810743257,NA,NA,NA,NA,"赤峰市"
"16","dalian",189.376314,32.809914,19.0451,0.14853,"Liaoning",2021,"大连",327.8,194.12365,39.07465,0.592201494813911,0.119202715070165,19.38023,0.1402,0.0591221171446004,0.000427699816961562,"大连市"
"17","dandong",117.271974,7.162056,49.09132,0.068712,"Liaoning",2021,"丹东",209.9,118.31157,8.42664,0.563656836588852,0.0401459742734636,48.3031,0.073,0.230124344926155,0.000347784659361601,"丹东市"
"18","daqing",447.433724258,61.9916408806667,103.633923254,2.55419016,"Heilongjiang",2021,"大庆",784.676,496.1019,64.0406,0.632237891817769,0.0816140674622392,112.2432,4.1689,0.143044007972717,0.00531289347450413,"大庆市"
"19","daxinganling",3.902502304,141.493467034,0.0024,9.604782052,"Heilongjiang",2021,"大兴安岭",183.2409,6.5423,152.1883,0.0357032736687061,0.830536741524409,0,10.7435,0,0.0586304695076263,"大兴安岭地区"
"20","dezhou",521.56511876,4.035148002,NA,544.15027948,"Shandong",2021,"德州市",1199.657,520.038,4.711,0.433488905578845,0.00392695578819613,NA,542.864,NA,0.452516010826428,"德州市"
"21","dongying",108.0975608,9.31556822,22.64428413,105.544301574,"Shandong",2021,"东营市",285.377,110.463,11.204,0.387077444923732,0.039260346839444,23.519,107.974,0.0824137894784793,0.37835564884346,"东营市"
"22","eerduosi",232.017631223473,7.11539014812678,NA,NA,"Inner mongolia",2021,"鄂尔多斯市",456.73,260.959923610526,9.03823512877553,0.571365847679211,0.0197890112950223,NA,NA,NA,NA,"鄂尔多斯市"
"23","fushun",92.95556,3.710354,13.784384,NA,"Liaoning",2021,"抚顺",137.7,101.90895,3.48945,0.740079520697168,0.0253409586056645,13.21553,NA,0.0959733478576616,NA,"抚顺市"
"24","haerbin",1125.496300536,205.898959974,554.201406526,0.34120002,"Heilongjiang",2021,"哈尔滨",2052.7003,1172.4788,191.7503,0.571188497414844,0.0934136853782308,603.3919,0.029,0.29395031510445,1.41277321389781e-05,"哈尔滨市"
"25","handan",389.896,4.41576064603679,0.65552843067648,388.785541461845,"Hebei",2021,"邯郸市",982.14645,388.6,3.72880323018394,0.395664007134578,0.0037965857639499,NA,374.325470226626,NA,0.381129993624297,"邯郸市"
"26","hebi",77.413754,0.472026,NA,89.776788,"Henan",2021,"鹤壁市",197.02,78.21,0.14,0.396964775149731,0.000710587757588062,NA,90.07,NA,0.45716170947112,"鹤壁市"
"27","hegang",97.395636826,71.829959812,220.98308669,0.00288,"Heilongjiang",2021,"鹤岗",550.6046,165.6846,75.1732,0.300913940784367,0.136528463438191,301.3672,2e-04,0.547338689142808,3.63237067035037e-07,"鹤岗市"
"28","heihe",312.111180492,1069.48415415,15.3309716,66.57012661,"Heilongjiang",2021,"黑河",1867.9194,529.6242,1213.6455,0.283536966316641,0.649731192898366,15.2721,49.4881,0.00817599517409584,0.026493702030184,"黑河市"
"29","hengshui",366.212253333333,4.98299111043964,NA,335.730517727274,"Hebei",2021,"衡水市",867.28194,368.681266666667,2.79495555219822,0.425099670202595,0.00322266084798009,NA,331.63562406337,NA,0.382385022410786,"衡水市"
"30","heze",542.8059724,22.804248486,3.077928206,616.2199799,"Shandong",2021,"菏泽市",1552.515,539.608,25.048,0.347570232815786,0.0161338215733825,3.046,615.053,0.00196197782308061,0.396165576500066,"菏泽市"
"31","huhehaote",186.166455104794,9.15536345628755,NA,NA,"Inner mongolia",2021,"呼和浩特市",411.21,201.673828179852,5.45163388719794,0.490439989737244,0.0132575421006248,NA,NA,NA,NA,"呼和浩特市"
"32","huludao",146.42428,3.671122,1.03198,0.00449,"Liaoning",2021,"葫芦岛",264.7,134.70541,4.32334,0.508898413298073,0.0163329807329052,1.35525,NA,0.00511994710993578,NA,"葫芦岛市"
"33","hulunbeier",504.034509073686,778.118277446615,NA,NA,"Inner mongolia",2021,"呼伦贝尔市",1871.34,586.68239391131,635.306633258111,0.313509246802457,0.339492894534457,NA,NA,NA,NA,"呼伦贝尔市"
"34","jiamusi",394.091473852,327.333575926,804.30351552,0.166431334,"Heilongjiang",2021,"佳木斯",1893.8767,468.0137,393.6549,0.247119413845685,0.207856667754559,1006.497,0.0191,0.531448008204547,1.00851338421345e-05,"佳木斯市"
"35","jiaozuo",121.882228,3.767232,3.014424,149.56453,"Henan",2021,"焦作市",348.65,126.39,1.96,0.362512548400975,0.00562168363688513,0.71,150.01,0.00203642621540227,0.430259572637315,"焦作市"
"36","jilin",489.9796,27.4368,138.077,NA,"Jilin",2021,"吉林市",673.802,495.711,23.224,0.735692384409663,0.0344670986432216,133.054,NA,0.197467505290872,NA,"吉林市"
"37","jinan",224.53014372,6.76987973,1.216577892,217.07051472,"Shandong",2021,"济南市",620.432,236.414,7.108,0.381047399231503,0.0114565335121335,0.806,219.51,0.00129909482425149,0.353801867086159,"济南市"
"38","jining",271.2038986,39.872189398,41.63166858,348.68039958,"Shandong",2021,"济宁市",966.708,268.903,46.765,0.278163623348519,0.048375517736483,40.044,346.365,0.0414230563934508,0.358293300562321,"济宁市"
"39","jinzhou",310.065554,3.887576,33.103286,0.06717,"Liaoning",2021,"锦州",476.9,312.13839,4.98562,0.65451539106731,0.0104542252044454,36.18295,0.071,0.0758711469909834,0.000148878171524429,"锦州市"
"40","jixi",258.260160524,97.438603736,366.306535026,0.190846914,"Heilongjiang",2021,"鸡西",958.5099,338.4763,92.5548,0.35312759941238,0.0965611309804938,498.6739,0.0263,0.520259519489574,2.74384229103946e-05,"鸡西市"
