"","district","mean"
"1","Nation",42251.02
"2","Heilongjiang",6012.86
"3","Jilin",4228.86
"4","Henan",3949.54
"5","Shandong",3942.34
"6","Inner Mongolia",3780.44
"7","Hebei",3500.64
"8","Liaoning",2713.82
"9","Sichuan",1853.86
"10","Yunnan",1783.74
"11","Shanxi",1774.5
"12","Shaanxi",1214.94
"13","Anhui",1186.66
"14","Xinjiang",1025.58
"15","Gansu",1019.82
"16","Hubei",770.56
"17","Guizhou",736.44
"18","Guangxi",591.18
"19","Jiangsu",522.64
"20","Chongqing",444.54
"21","Hunan",373.3
"22","Ningxia",310.56
"23","Tianjin",193.48
"24","Guangdong",121.64
"25","Zhejiang",58.16
"26","Beijing",44.68
"27","Jiangxi",40.08
"28","Fujian",29.08
"29","Qinghai",19.98
"30","Tibet",4.82
"31","Shanghai",2.32
