"","district","mean"
"1","Nation",26026.04
"2","Heilongjiang",3836.9
"3","Jilin",3071.14
"4","Inner Mongolia",2645.1
"5","Shandong",2603.02
"6","Henan",2265.52
"7","Hebei",2009.26
"8","Liaoning",1788.12
"9","Sichuan",1063.88
"10","Shanxi",979.36
"11","Yunnan",917.84
"12","Xinjiang",830.52
"13","Anhui",629.36
"14","Shaanxi",600.26
"15","Gansu",593.9
"16","Hubei",331.24
"17","Guizhou",321.84
"18","Jiangsu",304.38
"19","Guangxi",271.06
"20","Chongqing",251.46
"21","Ningxia",229.92
"22","Hunan",209.1
"23","Tianjin",114.7
"24","Guangdong",55.66
"25","Beijing",29.96
"26","Zhejiang",24.74
"27","Jiangxi",17.38
"28","Qinghai",13.26
"29","Fujian",12.64
"30","Tibet",2.94
"31","Shanghai",1.62
